,Date,Price,Open,High,Low,Vol.,Change %
0,09/29/2023,315.75,317.75,319.47,314.98,24.15,0.67%
1,09/28/2023,313.64,310.99,315.48,309.45,19.3,0.27%
2,09/27/2023,312.79,312.3,314.3,309.69,19.31,0.21%
3,09/26/2023,312.14,315.13,315.88,310.02,26.06,-1.70%
4,09/25/2023,317.54,316.59,317.67,315.0,16.54,0.17%
5,09/22/2023,317.01,321.32,321.45,316.15,21.45,-0.79%
6,09/21/2023,319.53,319.26,325.35,315.0,34.45,-0.39%
7,09/20/2023,320.77,329.51,329.59,320.51,20.16,-2.40%
8,09/19/2023,328.65,326.17,329.39,324.51,16.49,-0.12%
9,09/18/2023,329.06,327.8,330.4,326.36,16.63,-0.35%
10,09/15/2023,330.22,336.92,337.4,329.65,37.68,-2.50%
11,09/14/2023,338.7,339.15,340.86,336.57,20.17,0.79%
12,09/13/2023,336.06,331.31,336.85,331.17,16.47,1.29%
13,09/12/2023,331.77,335.82,336.79,331.48,17.16,-1.83%
14,09/11/2023,337.94,337.24,338.42,335.43,15.86,1.10%
15,09/08/2023,334.27,330.09,336.16,329.46,19.55,1.32%
16,09/07/2023,329.91,331.29,333.08,329.03,17.81,-0.89%
17,09/06/2023,332.88,333.38,334.46,330.18,17.35,-0.20%
18,09/05/2023,333.55,329.0,334.85,328.66,18.09,1.49%
19,09/01/2023,328.66,331.31,331.99,326.78,14.94,0.27%
20,08/31/2023,327.76,329.2,330.91,326.78,26.26,-0.31%
21,08/30/2023,328.79,328.67,329.81,326.45,15.0,0.12%
22,08/29/2023,328.41,321.88,328.98,321.88,19.07,1.46%
24,08/25/2023,322.98,321.47,325.36,318.8,21.68,0.94%
25,08/24/2023,319.97,332.85,332.98,319.96,21.48,-2.15%
26,08/23/2023,327.0,323.82,329.2,323.46,19.45,1.41%
27,08/22/2023,322.46,325.5,326.08,321.46,16.05,0.18%
28,08/21/2023,321.88,317.93,322.77,317.04,21.79,1.71%
29,08/18/2023,316.48,314.49,318.38,311.55,24.76,-0.13%
30,08/17/2023,316.88,320.54,321.87,316.21,20.22,-1.10%
31,08/16/2023,320.4,320.8,324.42,319.8,19.55,-0.45%
32,08/15/2023,321.86,323.0,325.09,320.9,16.8,-0.67%
33,08/14/2023,324.04,321.39,324.06,320.08,18.84,0.94%
34,08/11/2023,321.01,320.26,322.41,319.21,24.36,-0.59%
35,08/10/2023,322.93,326.02,328.26,321.18,20.0,0.22%
36,08/09/2023,322.23,326.47,327.11,321.05,19.12,-1.17%
37,08/08/2023,326.05,326.96,328.75,323.0,22.19,-1.23%
38,08/07/2023,330.11,328.37,331.11,327.52,17.74,0.71%
39,08/04/2023,327.78,331.88,335.14,327.24,23.74,0.34%
40,08/03/2023,326.66,326.0,329.88,325.95,17.96,-0.26%
41,08/02/2023,327.5,333.63,333.63,326.36,27.43,-2.63%
42,08/01/2023,336.34,335.19,338.54,333.7,18.15,0.13%
43,07/31/2023,335.92,336.92,337.7,333.36,25.34,-0.72%
44,07/28/2023,338.37,333.67,340.01,333.17,28.48,2.31%
45,07/27/2023,330.72,340.48,341.33,329.05,39.64,-2.09%
46,07/26/2023,337.77,341.44,344.67,333.11,58.38,-3.76%
47,07/25/2023,350.98,347.11,351.89,345.07,41.64,1.70%
48,07/24/2023,345.11,345.85,346.92,342.31,25.66,0.39%
49,07/21/2023,343.77,349.15,350.3,339.83,69.41,-0.89%
50,07/20/2023,346.87,353.57,357.97,345.37,33.78,-2.31%
51,07/19/2023,355.08,361.75,362.46,352.43,39.73,-1.23%
52,07/18/2023,359.49,345.83,366.78,342.17,64.52,3.98%
53,07/17/2023,345.73,345.68,346.99,342.2,20.03,0.14%
54,07/14/2023,345.24,347.59,351.43,344.31,28.35,0.75%
55,07/13/2023,342.66,339.56,343.74,339.02,20.57,1.62%
56,07/12/2023,337.2,336.6,341.65,335.67,29.35,1.42%
57,07/11/2023,332.47,331.06,332.86,327.0,26.38,0.19%
58,07/10/2023,331.83,334.6,335.23,327.59,32.73,-1.60%
59,07/07/2023,337.22,339.32,341.79,337.0,21.21,-1.19%
60,07/06/2023,341.27,337.3,342.99,335.5,28.02,0.92%
61,07/05/2023,338.15,335.09,341.65,334.73,18.07,0.05%
63,06/30/2023,340.54,337.75,342.73,337.2,26.83,1.64%
64,06/29/2023,335.05,334.71,336.11,332.62,16.86,-0.24%
65,06/28/2023,335.85,334.66,337.98,333.81,19.52,0.38%
66,06/27/2023,334.57,331.86,336.15,329.3,23.68,1.82%
67,06/26/2023,328.6,333.72,336.11,328.49,21.25,-1.92%
68,06/23/2023,335.02,334.36,337.96,333.45,23.15,-1.38%
69,06/22/2023,339.71,334.12,340.12,333.34,23.03,1.84%
70,06/21/2023,333.56,336.37,337.73,332.07,24.87,-1.33%
71,06/20/2023,338.05,339.31,342.08,335.86,26.01,-1.25%
72,06/16/2023,342.33,351.32,351.47,341.95,46.55,-1.66%
73,06/15/2023,348.1,337.48,349.84,337.2,38.61,3.19%
74,06/14/2023,337.34,334.34,339.04,332.81,25.83,0.91%
75,06/13/2023,334.29,334.46,336.98,330.39,22.66,0.74%
76,06/12/2023,331.85,328.58,332.1,325.16,24.18,1.55%
77,06/09/2023,326.79,324.99,329.99,324.41,22.53,0.47%
78,06/08/2023,325.26,323.93,326.64,323.35,23.28,0.58%
79,06/07/2023,323.38,331.65,334.49,322.5,40.72,-3.09%
80,06/06/2023,333.68,335.33,335.37,332.17,20.21,-0.67%
81,06/05/2023,335.94,335.22,338.56,334.66,21.11,0.16%
82,06/02/2023,335.4,334.25,337.5,332.55,25.87,0.85%
83,06/01/2023,332.58,325.93,333.53,324.72,25.8,1.28%
84,05/31/2023,328.39,332.29,335.94,327.33,45.55,-0.85%
85,05/30/2023,331.21,335.23,335.74,330.52,29.41,-0.50%
86,05/26/2023,332.89,324.02,333.4,323.88,36.63,2.14%
87,05/25/2023,325.92,323.24,326.9,320.0,41.89,3.85%
88,05/24/2023,313.85,314.73,316.5,312.61,22.01,-0.45%
89,05/23/2023,315.26,320.03,322.72,315.25,29.93,-1.84%
90,05/22/2023,321.18,318.6,322.59,318.01,23.05,0.89%
91,05/19/2023,318.34,316.74,318.75,316.37,25.73,-0.06%
92,05/18/2023,318.52,314.53,319.04,313.72,26.37,1.44%
93,05/17/2023,314.0,312.29,314.43,310.74,24.32,0.72%
94,05/16/2023,311.74,309.83,313.71,309.83,26.73,0.74%
95,05/15/2023,309.46,309.1,309.9,307.59,16.29,0.16%
96,05/12/2023,308.97,310.55,310.65,306.6,19.77,-0.37%
97,05/11/2023,310.11,310.1,311.12,306.26,31.68,-0.70%
98,05/10/2023,312.31,308.62,313.0,307.67,30.08,1.73%
99,05/09/2023,307.0,308.0,310.04,306.31,21.34,-0.53%
100,05/08/2023,308.65,310.13,310.2,306.09,21.32,-0.64%
101,05/05/2023,310.65,305.72,311.97,304.27,28.2,1.72%
102,05/04/2023,305.41,306.24,307.76,303.4,22.2,0.33%
103,05/03/2023,304.4,306.62,308.61,304.09,22.16,-0.33%
104,05/02/2023,305.41,307.76,309.18,303.91,26.4,-0.05%
105,05/01/2023,305.56,306.97,308.6,305.15,21.25,-0.55%
106,04/28/2023,307.26,304.01,308.93,303.31,36.47,0.80%
107,04/27/2023,304.83,295.97,305.2,295.25,46.21,3.20%
108,04/26/2023,295.37,296.7,299.57,292.73,64.48,7.24%
109,04/25/2023,275.42,279.51,281.6,275.37,40.23,-2.25%
110,04/24/2023,281.77,282.09,284.95,278.72,26.51,-1.40%
111,04/21/2023,285.76,285.01,286.27,283.06,21.68,-0.12%
112,04/20/2023,286.11,285.25,289.03,285.08,23.24,-0.81%
113,04/19/2023,288.45,285.99,289.05,284.54,17.08,0.03%
114,04/18/2023,288.37,291.57,291.76,287.01,20.1,-0.15%
115,04/17/2023,288.8,289.93,291.6,286.16,23.84,0.93%
116,04/14/2023,286.14,287.0,288.48,283.69,20.99,-1.28%
117,04/13/2023,289.84,283.59,289.9,283.17,24.12,2.24%
118,04/12/2023,283.49,284.79,287.01,281.96,27.4,0.23%
119,04/11/2023,282.83,285.75,285.98,281.64,27.2,-2.27%
120,04/10/2023,289.39,289.21,289.6,284.71,23.03,-0.76%
121,04/06/2023,291.6,283.21,292.08,282.03,29.77,2.55%
122,04/05/2023,284.34,285.85,287.15,282.92,22.0,-0.99%
123,04/04/2023,287.18,287.23,290.45,285.67,25.78,-0.02%
124,04/03/2023,287.23,286.52,288.27,283.95,24.84,-0.37%
125,03/31/2023,288.3,283.73,289.27,283.0,32.7,1.50%
126,03/30/2023,284.05,284.23,284.46,281.48,24.99,1.26%
127,03/29/2023,280.51,278.96,281.14,278.41,25.09,1.92%
128,03/28/2023,275.23,275.79,276.14,272.05,21.84,-0.42%
129,03/27/2023,276.38,280.5,281.46,275.52,26.76,-1.49%
130,03/24/2023,280.57,277.24,280.63,275.28,28.2,1.05%
131,03/23/2023,277.66,277.94,281.06,275.2,36.38,1.97%
132,03/22/2023,272.29,273.4,281.04,272.18,34.73,-0.54%
133,03/21/2023,273.78,274.88,275.0,269.52,33.99,0.57%
134,03/20/2023,272.23,276.98,277.48,269.85,42.78,-2.58%
135,03/17/2023,279.43,278.26,283.33,276.32,69.53,1.17%
136,03/16/2023,276.2,265.2,276.56,263.28,53.64,4.05%
137,03/15/2023,265.44,259.98,266.48,259.21,45.77,1.78%
